unemployment_rate,Government Response Index,Containment Health Index,Economic Support Index,Stringency Index
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,70.1,65.83,100,52.78
2.9,70.1,65.83,100,52.78
2.9,70.1,65.83,100,52.78
2.9,70.1,65.83,100,52.78
2.9,70.1,65.83,100,52.78
2.9,70.1,65.83,100,52.78
2.9,70.1,65.83,100,52.78
2.9,70.1,65.83,100,52.78
2.9,70.1,65.83,100,52.78
2.9,70.1,65.83,100,52.78
2.9,70.1,65.83,100,52.78
2.9,70.1,65.83,100,52.78
2.9,70.1,65.83,100,52.78
2.9,70.1,65.83,100,52.78
2.9,70.1,65.83,100,52.78
2.9,73.23,69.4,100,58.33
2.9,73.23,69.4,100,58.33
2.9,73.23,69.4,100,58.33
2.9,73.23,69.4,100,58.33
2.9,73.23,69.4,100,58.33
2.9,73.23,69.4,100,58.33
2.9,73.23,69.4,100,58.33
2.9,73.23,69.4,100,58.33
2.9,73.23,69.4,100,58.33
2.9,73.23,69.4,100,58.33
2.9,73.23,69.4,100,58.33
2.9,73.23,69.4,100,58.33
2.9,73.23,69.4,100,58.33
