unemployment_rate,Government Response Index,Containment Health Index,Economic Support Index,Stringency Index
5.7,83.96,81.67,100,87.96
5.7,83.96,81.67,100,87.96
5.7,83.96,81.67,100,87.96
5.7,83.96,81.67,100,87.96
5.7,83.96,81.67,100,87.96
5.7,83.96,81.67,100,87.96
5.7,83.96,81.67,100,87.96
5.7,83.96,81.67,100,87.96
5.7,83.96,81.67,100,87.96
5.7,83.96,81.67,100,87.96
5.7,83.96,81.67,100,87.96
5.7,83.96,81.67,100,87.96
5.7,83.96,81.67,100,87.96
5.7,83.96,81.67,100,87.96
5.9,83.96,81.67,100,87.96
5.9,83.96,81.67,100,87.96
5.9,83.96,81.67,100,87.96
5.9,83.96,81.67,100,87.96
5.9,83.96,81.67,100,87.96
5.9,83.96,81.67,100,87.96
5.9,83.96,81.67,100,87.96
5.9,83.96,81.67,100,87.96
5.9,83.96,81.67,100,87.96
5.9,83.96,81.67,100,87.96
5.9,83.96,81.67,100,87.96
5.9,83.96,81.67,100,87.96
5.9,83.96,81.67,100,87.96
5.9,83.96,81.67,100,87.96
5.9,83.96,81.67,100,87.96
5.9,83.96,81.67,100,87.96
5.9,83.96,81.67,100,87.96
5.9,83.96,81.67,100,87.96
5.9,83.96,81.67,100,87.96
5.9,83.96,81.67,100,87.96
5.9,83.96,81.67,100,87.96
5.9,81.88,79.29,100,86.11
5.9,81.88,79.29,100,86.11
5.9,81.88,79.29,100,86.11
5.9,81.88,79.29,100,86.11
5.9,81.88,79.29,100,86.11
5.9,81.88,79.29,100,86.11
5.9,81.88,79.29,100,86.11
6.1,81.88,79.29,100,86.11
6.1,81.88,79.29,100,86.11
6.1,81.88,79.29,100,86.11
6.1,81.88,79.29,100,86.11
6.1,81.88,79.29,100,86.11
6.1,81.88,79.29,100,86.11
6.1,81.88,79.29,100,86.11
6.1,79.79,76.9,100,82.41
6.1,79.79,76.9,100,82.41
6.1,79.79,76.9,100,82.41
6.1,79.79,76.9,100,82.41
6.1,79.79,76.9,100,82.41
6.1,77.71,74.52,100,80.56
6.1,77.71,74.52,100,80.56
6.1,76.67,73.33,100,78.7
6.1,76.67,73.33,100,78.7
6.1,77.92,74.76,100,78.7
6.1,77.92,74.76,100,78.7
6.1,77.92,74.76,100,78.7
6.1,77.92,74.76,100,78.7
6.1,77.92,74.76,100,78.7
6.1,77.92,74.76,100,78.7
6.1,77.92,74.76,100,78.7
6.1,77.92,74.76,100,78.7
6.1,77.92,74.76,100,78.7
6.1,77.92,74.76,100,78.7
6.1,73.23,69.4,100,70.37
6.1,73.23,69.4,100,70.37
6.1,73.23,69.4,100,70.37
6.1,73.23,69.4,100,70.37
6.1,73.23,69.4,100,70.37
6.3,73.23,69.4,100,70.37
6.3,73.23,69.4,100,70.37
6.3,73.23,69.4,100,70.37
6.3,73.23,69.4,100,70.37
6.3,73.23,69.4,100,70.37
6.3,73.23,69.4,100,70.37
6.3,73.23,69.4,100,70.37
6.3,73.23,69.4,100,70.37
6.3,73.23,69.4,100,70.37
6.3,73.23,69.4,100,70.37
6.3,73.23,69.4,100,70.37
6.3,68.02,63.45,100,61.11
6.3,68.02,63.45,100,61.11
6.3,68.02,63.45,100,61.11
6.3,68.02,63.45,100,61.11
6.3,68.02,63.45,100,61.11
6.3,68.02,63.45,100,61.11
6.3,68.02,63.45,100,61.11
6.3,68.02,63.45,100,61.11
6.3,68.02,63.45,100,61.11
6.3,68.02,63.45,100,61.11
6.3,68.02,63.45,100,61.11
6.3,68.02,63.45,100,61.11
6.3,68.02,63.45,100,61.11
6.3,68.02,63.45,100,61.11
6.3,68.02,63.45,100,61.11
6.3,68.02,63.45,100,61.11
6.3,68.02,63.45,100,61.11
6.3,68.02,63.45,100,61.11
6.3,68.02,63.45,100,61.11
6.5,68.02,63.45,100,61.11
6.5,68.02,63.45,100,61.11
6.5,67.24,62.56,100,59.72
6.5,67.24,62.56,100,59.72
6.5,67.24,62.56,100,59.72
6.5,67.24,62.56,100,59.72
6.5,67.24,62.56,100,59.72
6.5,67.24,62.56,100,59.72
6.5,67.24,62.56,100,59.72
6.5,67.24,62.56,100,59.72
6.5,67.24,62.56,100,59.72
6.5,67.24,62.56,100,59.72
6.5,67.24,62.56,100,59.72
6.5,67.24,62.56,100,59.72
6.5,67.24,62.56,100,59.72
6.5,67.24,62.56,100,59.72
6.5,68.8,64.35,100,62.5
6.5,68.8,64.35,100,62.5
6.5,68.8,64.35,100,62.5
6.5,68.8,64.35,100,62.5
6.5,68.8,64.35,100,62.5
6.5,68.8,64.35,100,62.5
6.5,68.8,64.35,100,62.5
6.5,68.8,64.35,100,62.5
6.5,68.8,64.35,100,62.5
6.5,68.8,64.35,100,62.5
6.5,68.8,64.35,100,62.5
6.5,68.8,64.35,100,62.5
6.5,68.8,64.35,100,62.5
6.5,68.8,64.35,100,62.5
6.5,68.8,64.35,100,62.5
